i,hypo,hyper,closure,hypo_syn,hyper_syn,path_len,path,vec_hypo,vec_hyper,vec_path_mean,vec_hypo_method,vec_hyper_method,vec_hypo_key,vec_hyper_key
0,supermarket,commercial building,False,,,,,True,True,,direct_key,token_average_surface,supermarket,
1,hand tool,tool,True,hand_tool.n.01,tool.n.01,1.0,hand_tool.n.01 -> tool.n.01,True,True,,synset_lemma,synset_lemma,tool,tool
2,peach,fruit,True,peach.n.03,fruit.n.01,2.0,peach.n.03 -> edible_fruit.n.01 -> fruit.n.01,True,True,,synset_lemma,synset_hypernym_backoff,peach,plant
3,pike,fish,True,pike.n.05,fish.n.01,5.0,pike.n.05 -> percoid_fish.n.01 -> spiny-finned_fish.n.01 -> teleost_fish.n.01 -> bony_fish.n.01 -> fish.n.01,True,True,,synset_lemma,synset_hypernym_backoff,pike,animal
4,nail gun,power tool,False,,,,,True,True,,direct_key,token_average_surface,nail gun,
5,workshop,industrial building,False,,,,,True,True,,direct_key,token_average_surface,workshop,
6,noodles,grain product,False,,,,,True,False,,direct_key,unk,noodles,
7,tortilla,grain product,False,,,,,True,False,,wn_hypernym_backoff,unk,cake,
8,store,commercial building,False,,,,,True,True,,direct_key,token_average_surface,store,
9,flowering plant,plant,True,plant.n.01,plant.n.01,0.0,plant.n.01,True,True,,synset_lemma,synset_lemma,plant,plant
10,fish,animal,True,fish.n.01,animal.n.01,4.0,fish.n.01 -> aquatic_vertebrate.n.01 -> vertebrate.n.01 -> chordate.n.01 -> animal.n.01,True,True,,synset_hypernym_backoff,synset_lemma,animal,animal
11,glider,aircraft,True,glider.n.01,aircraft.n.01,2.0,glider.n.01 -> heavier-than-air_craft.n.01 -> aircraft.n.01,True,True,,synset_lemma,synset_hypernym_backoff,glider,vehicle
12,aircraft,vehicle,True,aircraft.n.01,vehicle.n.01,2.0,aircraft.n.01 -> craft.n.02 -> vehicle.n.01,True,True,,synset_hypernym_backoff,synset_lemma,vehicle,vehicle
13,meat,food,True,meat.n.01,food.n.02,1.0,meat.n.01 -> food.n.02,True,True,,synset_hypernym_backoff,synset_lemma,food,food
14,clothing,physical object,True,clothing.n.01,object.n.01,4.0,clothing.n.01 -> covering.n.02 -> artifact.n.01 -> whole.n.02 -> object.n.01,True,True,,synset_lemma,synset_lemma,clothing,physical object
15,ferry,watercraft,True,ferry.n.01,vessel.n.02,2.0,ferry.n.01 -> boat.n.01 -> vessel.n.02,True,True,,synset_lemma,synset_hypernym_backoff,ferry,vehicle
16,plant,physical object,True,plant.n.02,object.n.01,4.0,plant.n.02 -> organism.n.01 -> living_thing.n.01 -> whole.n.02 -> object.n.01,True,True,,synset_lemma,synset_lemma,plant,physical object
17,oak,tree,True,oak.n.02,tree.n.01,1.0,oak.n.02 -> tree.n.01,True,True,,synset_hypernym_backoff,synset_hypernym_backoff,plant,plant
18,saw,hand tool,True,saw.n.02,hand_tool.n.01,1.0,saw.n.02 -> hand_tool.n.01,True,True,,synset_hypernym_backoff,synset_lemma,tool,tool
19,scarf,accessory,False,,,,,True,True,,direct_key,wn_hypernym_backoff,scarf,clothing
20,salmon,fish,True,salmon.n.03,fish.n.02,1.0,salmon.n.03 -> fish.n.02,True,True,,synset_lemma,synset_hypernym_backoff,salmon,food
