i,hypo,hyper,closure,hypo_syn,hyper_syn,path_len,path,vec_hypo,vec_hyper,vec_path_mean,vec_hypo_method,vec_hyper_method,vec_hypo_key,vec_hyper_key
0,supermarket,commercial building,False,,,,,True,True,,wn_lemma,wn_lemma,supermarket.n.01,commercial.n.01
1,hand tool,tool,True,hand_tool.n.01,tool.n.01,1.0,hand_tool.n.01 -> tool.n.01,True,True,,synset_name,synset_name,hand_tool.n.01,tool.n.01
2,peach,fruit,True,peach.n.03,fruit.n.01,2.0,peach.n.03 -> edible_fruit.n.01 -> fruit.n.01,True,True,,synset_name,synset_name,peach.n.03,fruit.n.01
3,pike,fish,True,pike.n.05,fish.n.01,5.0,pike.n.05 -> percoid_fish.n.01 -> spiny-finned_fish.n.01 -> teleost_fish.n.01 -> bony_fish.n.01 -> fish.n.01,True,True,,synset_name,synset_name,pike.n.05,fish.n.01
4,nail gun,power tool,False,,,,,True,True,,wn_lemma,wn_lemma,nail.n.01,power_tool.n.01
5,workshop,industrial building,False,,,,,True,True,,wn_lemma,wn_lemma,workshop.n.01,building.n.01
6,noodles,grain product,False,,,,,True,True,,wn_lemma,wn_lemma,noodle.n.01,grain.n.01
7,tortilla,grain product,False,,,,,True,True,,wn_lemma,wn_lemma,tortilla.n.01,grain.n.01
8,store,commercial building,False,,,,,True,True,,wn_lemma,wn_lemma,shop.n.01,commercial.n.01
9,flowering plant,plant,True,plant.n.01,plant.n.01,0.0,plant.n.01,True,True,,synset_name,synset_name,plant.n.01,plant.n.01
10,fish,animal,True,fish.n.01,animal.n.01,4.0,fish.n.01 -> aquatic_vertebrate.n.01 -> vertebrate.n.01 -> chordate.n.01 -> animal.n.01,True,True,,synset_name,synset_name,fish.n.01,animal.n.01
11,glider,aircraft,True,glider.n.01,aircraft.n.01,2.0,glider.n.01 -> heavier-than-air_craft.n.01 -> aircraft.n.01,True,True,,synset_name,synset_name,glider.n.01,aircraft.n.01
12,aircraft,vehicle,True,aircraft.n.01,vehicle.n.01,2.0,aircraft.n.01 -> craft.n.02 -> vehicle.n.01,True,True,,synset_name,synset_name,aircraft.n.01,vehicle.n.01
13,meat,food,True,meat.n.01,food.n.02,1.0,meat.n.01 -> food.n.02,True,True,,synset_name,synset_name,meat.n.01,food.n.02
14,clothing,physical object,True,clothing.n.01,object.n.01,4.0,clothing.n.01 -> covering.n.02 -> artifact.n.01 -> whole.n.02 -> object.n.01,True,True,,synset_name,synset_name,clothing.n.01,object.n.01
15,ferry,watercraft,True,ferry.n.01,vessel.n.02,2.0,ferry.n.01 -> boat.n.01 -> vessel.n.02,True,True,,synset_name,synset_name,ferry.n.01,vessel.n.02
16,plant,physical object,True,plant.n.02,object.n.01,4.0,plant.n.02 -> organism.n.01 -> living_thing.n.01 -> whole.n.02 -> object.n.01,True,True,,synset_name,synset_name,plant.n.02,object.n.01
17,oak,tree,True,oak.n.02,tree.n.01,1.0,oak.n.02 -> tree.n.01,True,True,,synset_name,synset_name,oak.n.02,tree.n.01
18,saw,hand tool,True,saw.n.02,hand_tool.n.01,1.0,saw.n.02 -> hand_tool.n.01,True,True,,synset_name,synset_name,saw.n.02,hand_tool.n.01
19,scarf,accessory,False,,,,,True,True,,wn_lemma,wn_lemma,scarf.n.01,accessory.n.01
20,salmon,fish,True,salmon.n.03,fish.n.02,1.0,salmon.n.03 -> fish.n.02,True,True,,synset_name,synset_name,salmon.n.03,fish.n.02
21,bacon,meat,True,bacon.n.01,meat.n.01,3.0,bacon.n.01 -> cut_of_pork.n.01 -> cut.n.06 -> meat.n.01,True,True,,synset_name,synset_name,bacon.n.01,meat.n.01
22,viola,string instrument,True,viola.n.03,bowed_stringed_instrument.n.01,1.0,viola.n.03 -> bowed_stringed_instrument.n.01,True,True,,synset_name,synset_name,viola.n.03,bowed_stringed_instrument.n.01
23,road vehicle,vehicle,True,vehicle.n.01,vehicle.n.01,0.0,vehicle.n.01,True,True,,synset_name,synset_name,vehicle.n.01,vehicle.n.01
24,mosquito,insect,True,mosquito.n.01,insect.n.01,2.0,mosquito.n.01 -> dipterous_insect.n.01 -> insect.n.01,True,True,,synset_name,synset_name,mosquito.n.01,insect.n.01
25,trousers,lower body clothing,True,trouser.n.01,clothing.n.01,2.0,trouser.n.01 -> garment.n.01 -> clothing.n.01,True,True,,synset_name,synset_name,trouser.n.01,clothing.n.01
26,moth,insect,True,moth.n.01,insect.n.01,2.0,moth.n.01 -> lepidopterous_insect.n.01 -> insect.n.01,True,True,,synset_name,synset_name,moth.n.01,insect.n.01
27,airplane,aircraft,True,airplane.n.01,aircraft.n.01,2.0,airplane.n.01 -> heavier-than-air_craft.n.01 -> aircraft.n.01,True,True,,synset_name,synset_name,airplane.n.01,aircraft.n.01
28,bat,mammal,True,bat.n.01,mammal.n.01,2.0,bat.n.01 -> placental.n.01 -> mammal.n.01,True,True,,synset_name,synset_name,bat.n.01,mammal.n.01
29,synagogue,religious building,True,synagogue.n.01,building.n.01,2.0,synagogue.n.01 -> place_of_worship.n.01 -> building.n.01,True,True,,synset_name,synset_name,synagogue.n.01,building.n.01
30,power plant,industrial building,False,,,,,True,True,,wn_lemma,wn_lemma,power_station.n.01,building.n.01
31,cereal,grain product,True,grain.n.02,grain.n.02,0.0,grain.n.02,True,True,,synset_name,synset_name,grain.n.02,grain.n.02
32,lecture hall,educational building,False,,,,,True,True,,wn_lemma,wn_lemma,lecture.n.01,building.n.01
33,bassoon,woodwind,True,bassoon.n.01,woodwind.n.01,3.0,bassoon.n.01 -> double-reed_instrument.n.01 -> beating-reed_instrument.n.01 -> woodwind.n.01,True,True,,synset_name,synset_name,bassoon.n.01,woodwind.n.01
34,sailboat,watercraft,True,sailboat.n.01,vessel.n.02,2.0,sailboat.n.01 -> sailing_vessel.n.01 -> vessel.n.02,True,True,,synset_name,synset_name,sailboat.n.01,vessel.n.02
35,cap,headwear,False,,,,,True,False,,wn_lemma,unk,cap.n.01,
36,cat,mammal,True,cat.n.01,mammal.n.01,4.0,cat.n.01 -> feline.n.01 -> carnivore.n.01 -> placental.n.01 -> mammal.n.01,True,True,,synset_name,synset_name,cat.n.01,mammal.n.01
37,bus,road vehicle,True,bus.n.04,vehicle.n.01,5.0,bus.n.04 -> car.n.01 -> motor_vehicle.n.01 -> self-propelled_vehicle.n.01 -> wheeled_vehicle.n.01 -> vehicle.n.01,True,True,,synset_name,synset_name,bus.n.04,vehicle.n.01
38,wasp,insect,True,wasp.n.02,insect.n.01,2.0,wasp.n.02 -> hymenopterous_insect.n.01 -> insect.n.01,True,True,,synset_name,synset_name,wasp.n.02,insect.n.01
39,tulip,flowering plant,True,tulip.n.01,plant.n.02,4.0,tulip.n.01 -> liliaceous_plant.n.01 -> bulbous_plant.n.01 -> vascular_plant.n.01 -> plant.n.02,True,True,,synset_name,synset_name,tulip.n.01,plant.n.02
40,helmet,headwear,False,,,,,True,False,,wn_lemma,unk,helmet.n.01,
41,reptile,animal,True,reptile.n.01,animal.n.01,3.0,reptile.n.01 -> vertebrate.n.01 -> chordate.n.01 -> animal.n.01,True,True,,synset_name,synset_name,reptile.n.01,animal.n.01
42,seagull,bird,True,gull.n.02,bird.n.01,5.0,gull.n.02 -> larid.n.01 -> coastal_diving_bird.n.01 -> seabird.n.01 -> aquatic_bird.n.01 -> bird.n.01,True,True,,synset_name,synset_name,gull.n.02,bird.n.01
43,rocket,spacecraft,False,,,,,True,True,,wn_lemma,wn_lemma,rocket.n.01,spacecraft.n.01
44,tram,rail vehicle,False,,,,,True,True,,wn_lemma,wn_lemma,tramway.n.01,railing.n.01
45,sparrow,bird,True,sparrow.n.01,bird.n.01,2.0,sparrow.n.01 -> passerine.n.01 -> bird.n.01,True,True,,synset_name,synset_name,sparrow.n.01,bird.n.01
46,fern,plant,True,fern.n.01,plant.n.02,3.0,fern.n.01 -> pteridophyte.n.01 -> vascular_plant.n.01 -> plant.n.02,True,True,,synset_name,synset_name,fern.n.01,plant.n.02
47,temple,religious building,True,temple.n.03,building.n.01,1.0,temple.n.03 -> building.n.01,True,True,,synset_name,synset_name,temple.n.03,building.n.01
48,yacht,watercraft,True,yacht.n.01,vessel.n.02,1.0,yacht.n.01 -> vessel.n.02,True,True,,synset_name,synset_name,yacht.n.01,vessel.n.02
49,maple,tree,True,maple.n.02,tree.n.01,2.0,maple.n.02 -> angiospermous_tree.n.01 -> tree.n.01,True,True,,synset_name,synset_name,maple.n.02,tree.n.01
50,kiwi,fruit,True,kiwi.n.03,fruit.n.01,2.0,kiwi.n.03 -> edible_fruit.n.01 -> fruit.n.01,True,True,,synset_name,synset_name,kiwi.n.03,fruit.n.01
51,blueberry,fruit,True,blueberry.n.02,fruit.n.01,3.0,blueberry.n.02 -> berry.n.01 -> edible_fruit.n.01 -> fruit.n.01,True,True,,synset_name,synset_name,blueberry.n.02,fruit.n.01
52,bugle,brass instrument,True,bugle.n.01,brass.n.02,1.0,bugle.n.01 -> brass.n.02,True,True,,synset_name,synset_name,bugle.n.01,brass.n.02
53,mammal,animal,True,mammal.n.01,animal.n.01,3.0,mammal.n.01 -> vertebrate.n.01 -> chordate.n.01 -> animal.n.01,True,True,,synset_name,synset_name,mammal.n.01,animal.n.01
54,instrument,physical object,True,instrument.n.01,object.n.01,5.0,instrument.n.01 -> device.n.01 -> instrumentality.n.03 -> artifact.n.01 -> whole.n.02 -> object.n.01,True,True,,synset_name,synset_name,instrument.n.01,object.n.01
55,lawn mower,gardening tool,True,lawn_mower.n.01,tool.n.01,2.0,lawn_mower.n.01 -> garden_tool.n.01 -> tool.n.01,True,True,,synset_name,synset_name,lawn_mower.n.01,tool.n.01
56,alto saxophone,woodwind,False,,,,,True,True,,wn_lemma,wn_lemma,alto.n.01,woodwind.n.01
57,boat,watercraft,True,boat.n.01,vessel.n.02,1.0,boat.n.01 -> vessel.n.02,True,True,,synset_name,synset_name,boat.n.01,vessel.n.02
58,building,physical object,True,building.n.01,object.n.01,4.0,building.n.01 -> structure.n.01 -> artifact.n.01 -> whole.n.02 -> object.n.01,True,True,,synset_name,synset_name,building.n.01,object.n.01
59,beret,headwear,False,,,,,True,False,,wn_lemma,unk,beret.n.01,
60,dragonfly,insect,True,dragonfly.n.01,insect.n.01,2.0,dragonfly.n.01 -> odonate.n.01 -> insect.n.01,True,True,,synset_name,synset_name,dragonfly.n.01,insect.n.01
61,hat,headwear,False,,,,,True,False,,wn_lemma,unk,hat.n.01,
62,rice,grain product,True,rice.n.01,grain.n.02,1.0,rice.n.01 -> grain.n.02,True,True,,synset_name,synset_name,rice.n.01,grain.n.02
63,jet,aircraft,True,jet.n.01,aircraft.n.01,3.0,jet.n.01 -> airplane.n.01 -> heavier-than-air_craft.n.01 -> aircraft.n.01,True,True,,synset_name,synset_name,jet.n.01,aircraft.n.01
64,plum,fruit,True,plum.n.02,fruit.n.01,2.0,plum.n.02 -> edible_fruit.n.01 -> fruit.n.01,True,True,,synset_name,synset_name,plum.n.02,fruit.n.01
65,hammer,hand tool,True,hammer.n.02,hand_tool.n.01,1.0,hammer.n.02 -> hand_tool.n.01,True,True,,synset_name,synset_name,hammer.n.02,hand_tool.n.01
66,lamb,meat,True,lamb.n.05,meat.n.01,1.0,lamb.n.05 -> meat.n.01,True,True,,synset_name,synset_name,lamb.n.05,meat.n.01
67,bee,insect,True,bee.n.01,insect.n.01,2.0,bee.n.01 -> hymenopterous_insect.n.01 -> insect.n.01,True,True,,synset_name,synset_name,bee.n.01,insect.n.01
68,goldfish,fish,True,goldfish.n.01,fish.n.01,6.0,goldfish.n.01 -> cyprinid.n.01 -> cypriniform_fish.n.01 -> soft-finned_fish.n.01 -> teleost_fish.n.01 -> bony_fish.n.01 -> fish.n.01,True,True,,synset_name,synset_name,goldfish.n.01,fish.n.01
69,hotel,commercial building,True,hotel.n.01,building.n.01,1.0,hotel.n.01 -> building.n.01,True,True,,synset_name,synset_name,hotel.n.01,building.n.01
70,drum kit,percussion instrument,True,drum.n.01,percussion_instrument.n.01,1.0,drum.n.01 -> percussion_instrument.n.01,True,True,,synset_name,synset_name,drum.n.01,percussion_instrument.n.01
71,triangle,percussion instrument,True,triangle.n.05,percussion_instrument.n.01,1.0,triangle.n.05 -> percussion_instrument.n.01,True,True,,synset_name,synset_name,triangle.n.05,percussion_instrument.n.01
72,subway train,rail vehicle,False,,,,,True,True,,wn_lemma,wn_lemma,subway_train.n.01,railing.n.01
73,crow,bird,True,crow.n.01,bird.n.01,4.0,crow.n.01 -> corvine_bird.n.01 -> oscine.n.01 -> passerine.n.01 -> bird.n.01,True,True,,synset_name,synset_name,crow.n.01,bird.n.01
74,minibus,road vehicle,False,,,,,True,True,,wn_lemma,wn_lemma,minibus.n.01,road.n.01
75,snare drum,percussion instrument,True,snare_drum.n.01,percussion_instrument.n.01,2.0,snare_drum.n.01 -> drum.n.01 -> percussion_instrument.n.01,True,True,,synset_name,synset_name,snare_drum.n.01,percussion_instrument.n.01
76,tiger,mammal,True,tiger.n.02,mammal.n.01,5.0,tiger.n.02 -> big_cat.n.01 -> feline.n.01 -> carnivore.n.01 -> placental.n.01 -> mammal.n.01,True,True,,synset_name,synset_name,tiger.n.02,mammal.n.01
77,snake,reptile,True,snake.n.01,reptile.n.01,2.0,snake.n.01 -> diapsid.n.01 -> reptile.n.01,True,True,,synset_name,synset_name,snake.n.01,reptile.n.01
78,bracelet,accessory,False,,,,,True,True,,wn_lemma,wn_lemma,watchband.n.01,accessory.n.01
79,catfish,fish,True,catfish.n.03,fish.n.01,4.0,catfish.n.03 -> soft-finned_fish.n.01 -> teleost_fish.n.01 -> bony_fish.n.01 -> fish.n.01,True,True,,synset_name,synset_name,catfish.n.03,fish.n.01
80,pork,meat,True,pork.n.01,meat.n.01,1.0,pork.n.01 -> meat.n.01,True,True,,synset_name,synset_name,pork.n.01,meat.n.01
81,tuba,brass instrument,True,bass_horn.n.01,brass.n.02,1.0,bass_horn.n.01 -> brass.n.02,True,True,,synset_name,synset_name,bass_horn.n.01,brass.n.02
82,accordion,keyboard instrument,True,accordion.n.01,keyboard_instrument.n.01,1.0,accordion.n.01 -> keyboard_instrument.n.01,True,True,,synset_name,synset_name,accordion.n.01,keyboard_instrument.n.01
83,spruce,tree,True,spruce.n.02,tree.n.01,3.0,spruce.n.02 -> conifer.n.01 -> gymnospermous_tree.n.01 -> tree.n.01,True,True,,synset_name,synset_name,spruce.n.02,tree.n.01
84,hoodie,upper body clothing,False,,,,,False,True,,unk,wn_lemma,,upper_berth.n.01
85,office building,commercial building,True,office_building.n.01,building.n.01,1.0,office_building.n.01 -> building.n.01,True,True,,synset_name,synset_name,office_building.n.01,building.n.01
86,necklace,accessory,False,,,,,True,True,,wn_lemma,wn_lemma,necklace.n.01,accessory.n.01
87,pigeon,bird,True,pigeon.n.01,bird.n.01,3.0,pigeon.n.01 -> columbiform_bird.n.01 -> gallinaceous_bird.n.01 -> bird.n.01,True,True,,synset_name,synset_name,pigeon.n.01,bird.n.01
88,whale,mammal,True,whale.n.02,mammal.n.01,4.0,whale.n.02 -> cetacean.n.01 -> aquatic_mammal.n.01 -> placental.n.01 -> mammal.n.01,True,True,,synset_name,synset_name,whale.n.02,mammal.n.01
89,bracken,fern,True,bracken.n.01,fern.n.01,1.0,bracken.n.01 -> fern.n.01,True,True,,synset_name,synset_name,bracken.n.01,fern.n.01
90,elephant,mammal,True,elephant.n.01,mammal.n.01,3.0,elephant.n.01 -> pachyderm.n.01 -> placental.n.01 -> mammal.n.01,True,True,,synset_name,synset_name,elephant.n.01,mammal.n.01
91,apple tree,tree,True,tree.n.01,tree.n.01,0.0,tree.n.01,True,True,,synset_name,synset_name,tree.n.01,tree.n.01
92,alligator,reptile,True,alligator.n.02,reptile.n.01,3.0,alligator.n.02 -> crocodilian_reptile.n.01 -> diapsid.n.01 -> reptile.n.01,True,True,,synset_name,synset_name,alligator.n.02,reptile.n.01
93,carp,fish,True,carp.n.02,fish.n.01,6.0,carp.n.02 -> cyprinid.n.01 -> cypriniform_fish.n.01 -> soft-finned_fish.n.01 -> teleost_fish.n.01 -> bony_fish.n.01 -> fish.n.01,True,True,,synset_name,synset_name,carp.n.02,fish.n.01
94,bicycle,road vehicle,True,bicycle.n.01,vehicle.n.01,2.0,bicycle.n.01 -> wheeled_vehicle.n.01 -> vehicle.n.01,True,True,,synset_name,synset_name,bicycle.n.01,vehicle.n.01
95,barrel cactus,cactus,True,barrel_cactus.n.01,cactus.n.01,1.0,barrel_cactus.n.01 -> cactus.n.01,True,True,,synset_name,synset_name,barrel_cactus.n.01,cactus.n.01
96,headwear,clothing,False,,,,,False,True,,unk,wn_lemma,,clothing.n.01
97,keyboard instrument,instrument,True,instrument.n.01,instrument.n.01,0.0,instrument.n.01,True,True,,synset_name,synset_name,instrument.n.01,instrument.n.01
98,birch,tree,True,birch.n.02,tree.n.01,1.0,birch.n.02 -> tree.n.01,True,True,,synset_name,synset_name,birch.n.02,tree.n.01
99,clavichord,keyboard instrument,True,clavichord.n.01,keyboard_instrument.n.01,1.0,clavichord.n.01 -> keyboard_instrument.n.01,True,True,,synset_name,synset_name,clavichord.n.01,keyboard_instrument.n.01
100,clarinet,woodwind,True,clarinet.n.01,woodwind.n.01,3.0,clarinet.n.01 -> single-reed_instrument.n.01 -> beating-reed_instrument.n.01 -> woodwind.n.01,True,True,,synset_name,synset_name,clarinet.n.01,woodwind.n.01
101,upper body clothing,clothing,True,clothing.n.01,clothing.n.01,0.0,clothing.n.01,True,True,,synset_name,synset_name,clothing.n.01,clothing.n.01
102,daisy,flowering plant,True,daisy.n.01,angiosperm.n.01,2.0,daisy.n.01 -> flower.n.01 -> angiosperm.n.01,True,True,,synset_name,synset_name,daisy.n.01,angiosperm.n.01
103,jacket,upper body clothing,True,jacket.n.01,clothing.n.01,4.0,jacket.n.01 -> coat.n.01 -> overgarment.n.01 -> garment.n.01 -> clothing.n.01,True,True,,synset_name,synset_name,jacket.n.01,clothing.n.01
104,butterfly,insect,True,butterfly.n.01,insect.n.01,2.0,butterfly.n.01 -> lepidopterous_insect.n.01 -> insect.n.01,True,True,,synset_name,synset_name,butterfly.n.01,insect.n.01
105,educational building,building,True,building.n.01,building.n.01,0.0,building.n.01,True,True,,synset_name,synset_name,building.n.01,building.n.01
106,gecko,reptile,True,gecko.n.01,reptile.n.01,4.0,gecko.n.01 -> lizard.n.01 -> saurian.n.01 -> diapsid.n.01 -> reptile.n.01,True,True,,synset_name,synset_name,gecko.n.01,reptile.n.01
107,shovel,gardening tool,True,shovel.n.01,tool.n.01,2.0,shovel.n.01 -> hand_tool.n.01 -> tool.n.01,True,True,,synset_name,synset_name,shovel.n.01,tool.n.01
108,tape measure,measuring tool,False,,,,,True,True,,wn_lemma,wn_lemma,tape.n.04,measurement.n.01
109,cedar,tree,True,cedar.n.01,tree.n.01,3.0,cedar.n.01 -> conifer.n.01 -> gymnospermous_tree.n.01 -> tree.n.01,True,True,,synset_name,synset_name,cedar.n.01,tree.n.01
110,tomato,vegetable,True,tomato.n.01,vegetable.n.01,2.0,tomato.n.01 -> solanaceous_vegetable.n.01 -> vegetable.n.01,True,True,,synset_name,synset_name,tomato.n.01,vegetable.n.01
111,organ,keyboard instrument,True,organ.n.05,keyboard_instrument.n.01,1.0,organ.n.05 -> keyboard_instrument.n.01,True,True,,synset_name,synset_name,organ.n.05,keyboard_instrument.n.01
112,space shuttle,spacecraft,True,space_shuttle.n.01,spacecraft.n.01,1.0,space_shuttle.n.01 -> spacecraft.n.01,True,True,,synset_name,synset_name,space_shuttle.n.01,spacecraft.n.01
113,residential building,building,True,building.n.01,building.n.01,0.0,building.n.01,True,True,,synset_name,synset_name,building.n.01,building.n.01
114,cucumber,vegetable,True,cucumber.n.02,vegetable.n.01,1.0,cucumber.n.02 -> vegetable.n.01,True,True,,synset_name,synset_name,cucumber.n.02,vegetable.n.01
115,helicopter,aircraft,True,helicopter.n.01,aircraft.n.01,2.0,helicopter.n.01 -> heavier-than-air_craft.n.01 -> aircraft.n.01,True,True,,synset_name,synset_name,helicopter.n.01,aircraft.n.01
116,pants,lower body clothing,True,trouser.n.01,clothing.n.01,2.0,trouser.n.01 -> garment.n.01 -> clothing.n.01,True,True,,synset_name,synset_name,trouser.n.01,clothing.n.01
117,pasta,grain product,False,,,,,True,True,,wn_lemma,wn_lemma,pasta.n.01,grain.n.01
118,sheep,mammal,True,sheep.n.01,mammal.n.01,6.0,sheep.n.01 -> bovid.n.01 -> ruminant.n.01 -> even-toed_ungulate.n.01 -> ungulate.n.01 -> placental.n.01 -> mammal.n.01,True,True,,synset_name,synset_name,sheep.n.01,mammal.n.01
119,chisel,hand tool,False,,,,,True,True,,wn_lemma,wn_lemma,chisel.n.01,hand_tool.n.01
120,harpsichord,keyboard instrument,True,harpsichord.n.01,keyboard_instrument.n.01,2.0,harpsichord.n.01 -> clavier.n.02 -> keyboard_instrument.n.01,True,True,,synset_name,synset_name,harpsichord.n.01,keyboard_instrument.n.01
121,piccolo,woodwind,True,piccolo.n.01,woodwind.n.01,2.0,piccolo.n.01 -> flute.n.01 -> woodwind.n.01,True,True,,synset_name,synset_name,piccolo.n.01,woodwind.n.01
122,library,educational building,True,library.n.05,building.n.01,1.0,library.n.05 -> building.n.01,True,True,,synset_name,synset_name,library.n.05,building.n.01
123,truck,road vehicle,True,hand_truck.n.01,vehicle.n.01,3.0,hand_truck.n.01 -> handcart.n.01 -> wheeled_vehicle.n.01 -> vehicle.n.01,True,True,,synset_name,synset_name,hand_truck.n.01,vehicle.n.01
124,animal,physical object,True,animal.n.01,object.n.01,4.0,animal.n.01 -> organism.n.01 -> living_thing.n.01 -> whole.n.02 -> object.n.01,True,True,,synset_name,synset_name,animal.n.01,object.n.01
125,file,hand tool,True,file.n.04,hand_tool.n.01,1.0,file.n.04 -> hand_tool.n.01,True,True,,synset_name,synset_name,file.n.04,hand_tool.n.01
126,footwear,clothing,True,footwear.n.01,clothing.n.01,1.0,footwear.n.01 -> clothing.n.01,True,True,,synset_name,synset_name,footwear.n.01,clothing.n.01
127,christmas cactus,cactus,True,cactus.n.01,cactus.n.01,0.0,cactus.n.01,True,True,,synset_name,synset_name,cactus.n.01,cactus.n.01
128,grape,fruit,True,grape.n.01,fruit.n.01,2.0,grape.n.01 -> edible_fruit.n.01 -> fruit.n.01,True,True,,synset_name,synset_name,grape.n.01,fruit.n.01
129,sausage,meat,True,sausage.n.01,meat.n.01,1.0,sausage.n.01 -> meat.n.01,True,True,,synset_name,synset_name,sausage.n.01,meat.n.01
130,monorail,rail vehicle,False,,,,,True,True,,wn_lemma,wn_lemma,monorail.n.01,railing.n.01
131,ruler,measuring tool,False,,,,,True,True,,wn_lemma,wn_lemma,ruler.n.01,measurement.n.01
132,industrial building,building,True,building.n.01,building.n.01,0.0,building.n.01,True,True,,synset_name,synset_name,building.n.01,building.n.01
133,potato,vegetable,True,potato.n.01,vegetable.n.01,2.0,potato.n.01 -> solanaceous_vegetable.n.01 -> vegetable.n.01,True,True,,synset_name,synset_name,potato.n.01,vegetable.n.01
134,zebra,mammal,True,zebra.n.01,mammal.n.01,5.0,zebra.n.01 -> equine.n.01 -> odd-toed_ungulate.n.01 -> ungulate.n.01 -> placental.n.01 -> mammal.n.01,True,True,,synset_name,synset_name,zebra.n.01,mammal.n.01
135,bread,grain product,False,,,,,True,True,,wn_lemma,wn_lemma,bread.n.01,grain.n.01
